,tractID,coeffType,coeff,se,intercept,r2_x,adjustR2,aic_x,pvals,coeff_GM,r2_y,aic_y
0,AFL,3,0.0358885802271623,0.002,-0.6692444932223122,0.496,0.494,-415.5,3.2599999999999995e-42,0.0318300644926078,0.644,-647.2
1,AFR,3,0.0341056001939038,0.002,-0.6102564673925361,0.494,0.492,-441.0,5.88e-42,0.0331783848194241,0.601,-574.9
2,ATRL,3,0.0448066230399118,0.002,-0.7317318565900435,0.664,0.662,-484.3,4.4e-66,0.023367539734473,0.462,-612.9
3,ATRR,3,0.0468815787427798,0.002,-0.8216903645425314,0.668,0.667,-465.0,7.289999999999999e-67,0.0206515679951518,0.379,-586.5
4,CCL,3,0.0238793945164225,0.002,-0.1898985971531854,0.475,0.473,-615.4,7.789999999999999e-40,0.0297860679379957,0.635,-672.9
5,CCR,3,0.0243725806170337,0.002,-0.2203123357647062,0.401,0.399,-521.5,5.44e-32,0.0284486654721022,0.53,-579.6
6,CSL,3,0.0857707228068334,0.003,-1.96355571338587,0.771,0.77,-275.0,1.24e-88,0.0449221425112526,0.708,-539.6
7,CSR,3,0.0842941650324127,0.003,-1.9452562396264,0.752,0.751,-256.4,5.2e-84,0.0428687367476802,0.671,-516.9
8,FcMi,3,0.0301495639567532,0.002,-0.5295326140951115,0.543,0.542,-562.4,5.04e-48,0.0204916443972417,0.389,-602.8
9,FcMa,3,0.0304773249668397,0.002,-0.4380187434247482,0.602,0.601,-622.6,3.3000000000000007e-56,0.0271270166546629,0.442,-509.0
10,IFOFL,3,0.0382016307758497,0.002,-0.7816854274461966,0.68,0.679,-591.8,4.83e-69,0.0269828628982473,0.514,-591.3
11,IFOFR,3,0.0399603715080172,0.002,-0.8408235624331347,0.707,0.706,-601.7,3.35e-74,0.0241743924939646,0.493,-628.3
12,ILFL,3,0.0356844172610306,0.002,-0.7397480098491457,0.641,0.64,-581.5,2.92e-62,0.0291431772133328,0.563,-602.6
13,ILFR,3,0.0370339485053707,0.002,-0.7647838330964641,0.666,0.665,-591.0,1.8600000000000002e-66,0.0267829706368996,0.541,-624.0
14,MLFL,3,0.0366565680950206,0.002,-0.7434721564482027,0.641,0.64,-566.8,2.91e-62,0.0248438147416242,0.559,-685.8
15,MLFR,3,0.0384635121660338,0.002,-0.785212439687281,0.678,0.676,-584.8,1.4399999999999999e-68,0.0275396241047263,0.551,-620.6
16,ORL,3,0.0481080878543123,0.002,-1.0017157838808703,0.666,0.665,-448.6,1.59e-66,0.0379742659463063,0.459,-343.7
17,ORR,3,0.0512167186504402,0.002,-1.095502801320036,0.661,0.66,-408.4,1.15e-65,0.0400729158268473,0.48,-337.6
18,SLFL,3,0.0403104700952978,0.002,-0.8668556165983362,0.575,0.574,-439.5,2.46e-52,0.0346803404421531,0.663,-623.0
19,SLFR,3,0.0395662581363951,0.002,-0.8341638238831539,0.57,0.569,-443.8,1.3e-51,0.034601472222833,0.652,-611.6
20,UNCL,3,0.0350301883231266,0.001,-0.6084162354407973,0.692,0.691,-654.4,2.67e-71,0.0283370315892449,0.619,-680.8
21,UNCR,3,0.0374722556815551,0.001,-0.71429890888161,0.734,0.733,-673.3,7.06e-80,0.0299370901937826,0.57,-595.4
22,VOFL,3,0.0260995843156996,0.002,-0.4733743530329463,0.525,0.523,-620.8,1.12e-45,0.0264549630729693,0.421,-499.3
23,VOFR,3,0.0290908862445893,0.002,-0.5750350127666836,0.548,0.547,-587.4,1.13e-48,0.0307324942064946,0.472,-474.3
24,pAFL,3,0.0201269631894678,0.001,-0.2784171331442576,0.469,0.467,-702.1,3.7e-39,0.024469403390239,0.517,-647.5
25,pAFR,3,0.0200462942634223,0.001,-0.2622459460191233,0.461,0.459,-695.1,3.09e-38,0.0260687809666146,0.517,-612.5
